name,source,region,number_of_games,start_date,end_date
LFL Div2 Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LFL%20Div2%20Spring%20Playoffs%202024/,FR,22,2024-03-19,2024-04-09
Prime League 2nd Div Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%202nd%20Div%20Spring%20Playoffs%202024/,DE,22,2024-03-15,2024-04-09
PCS Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/PCS%20Spring%20Playoffs%202024/,WR,65,2024-03-11,2024-04-07
VCS Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/VCS%20Spring%20Playoffs%202024/,VN,19,2024-04-03,2024-04-07
LLA Opening Playoffs 2024,https://gol.gg/tournament/tournament-stats/LLA%20Opening%20Playoffs%202024/,LAT,31,2024-03-05,2024-04-06
Arabian League Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/Arabian%20League%20Spring%20Playoffs%202024/,AL,16,2024-03-28,2024-04-05
EBL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/EBL%20Spring%20Playoffs%202024/,RS,16,2024-03-13,2024-04-05
LFL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LFL%20Spring%20Playoffs%202024/,FR,21,2024-03-20,2024-04-05
LPLOL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LPLOL%20Spring%20Playoffs%202024/,PT,15,2024-03-14,2024-04-05
LVP SL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%20Spring%20Playoffs%202024/,ES,26,2024-03-19,2024-04-05
TCL Playoffs Spring 2024,https://gol.gg/tournament/tournament-stats/TCL%20Playoffs%20Spring%202024/,TR,25,2024-03-19,2024-04-05
TCL Div2 Winter Playoffs 2024,https://gol.gg/tournament/tournament-stats/TCL%20Div2%20Winter%20Playoffs%202024/,TR,25,2024-03-27,2024-04-03
NACL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/NACL%20Spring%20Playoffs%202024/,NA,36,2024-03-14,2024-04-01
LCS Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCS%20Spring%20Playoffs%202024/,NA,30,2024-03-14,2024-03-31
Elite Series Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/Elite%20Series%20Spring%20Playoffs%202024/,BE,15,2024-03-12,2024-03-30
Hitpoint Masters Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Spring%20Playoffs%202024/,CZ,16,2024-03-12,2024-03-30
LIT Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LIT%20Spring%20Playoffs%202024/,IT,16,2024-03-14,2024-03-29
LPL Spring 2024,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202024/,CN,324,2024-01-22,2024-03-27
NLC Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/NLC%20Spring%20Playoffs%202024/,EUW,15,2024-03-13,2024-03-27
LEC Spring Season 2024,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Season%202024/,EUW,46,2024-03-09,2024-03-25
LCK Spring 2024,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202024/,KR,210,2024-01-17,2024-03-24
Ultraliga Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/Ultraliga%20Spring%20Playoffs%202024/,PL,16,2024-03-12,2024-03-23
LCK CL Spring 2024,https://gol.gg/tournament/tournament-stats/LCK%20CL%20Spring%202024/,KR,223,2024-01-15,2024-03-22
Arabian League Spring 2024,https://gol.gg/tournament/tournament-stats/Arabian%20League%20Spring%202024/,AL,56,2024-02-08,2024-03-21
CBLOL Split 1 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%201%202024/,BR,90,2024-01-20,2024-03-17
LFL Div2 Spring 2024,https://gol.gg/tournament/tournament-stats/LFL%20Div2%20Spring%202024/,FR,90,2024-01-19,2024-03-15
LVP SL 2nd Div Spring 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%202nd%20Div%20Spring%202024/,ES,56,2024-01-19,2024-03-15
LFL Spring 2024,https://gol.gg/tournament/tournament-stats/LFL%20Spring%202024/,FR,90,2024-01-17,2024-03-14
LVP SL Spring 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%20Spring%202024/,ES,91,2024-01-17,2024-03-14
GLL Spring 2024,https://gol.gg/tournament/tournament-stats/GLL%20Spring%202024/,GR,56,2024-01-23,2024-03-13
Prime League Spring 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%20Spring%202024/,DE,90,2024-01-17,2024-03-13
TCL Div2 Winter 2024,https://gol.gg/tournament/tournament-stats/TCL%20Div2%20Winter%202024/,TR,91,2024-01-18,2024-03-13
Prime League 2nd Div Spring 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%202nd%20Div%20Spring%202024/,DE,91,2024-01-16,2024-03-12
LCS Spring 2024,https://gol.gg/tournament/tournament-stats/LCS%20Spring%202024/,NA,57,2024-01-20,2024-03-10
NACL Spring 2024,https://gol.gg/tournament/tournament-stats/NACL%20Spring%202024/,NA,112,2024-01-20,2024-03-10
VCS Spring 2024,https://gol.gg/tournament/tournament-stats/VCS%20Spring%202024/,VN,107,2024-01-20,2024-03-10
EBL Spring 2024,https://gol.gg/tournament/tournament-stats/EBL%20Spring%202024/,RS,56,2024-01-31,2024-03-08
Hitpoint Masters Spring 2024,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Spring%202024/,CZ,56,2024-01-23,2024-03-08
LPLOL Spring 2024,https://gol.gg/tournament/tournament-stats/LPLOL%20Spring%202024/,PT,56,2024-01-25,2024-03-08
LIT Spring 2024,https://gol.gg/tournament/tournament-stats/LIT%20Spring%202024/,IT,57,2024-01-25,2024-03-08
TCL Spring 2024,https://gol.gg/tournament/tournament-stats/TCL%20Spring%202024/,TR,56,2024-01-25,2024-03-08
Elite Series Spring 2024,https://gol.gg/tournament/tournament-stats/Elite%20Series%20Spring%202024/,BE,56,2024-01-23,2024-03-07
NLC Spring 2024,https://gol.gg/tournament/tournament-stats/NLC%20Spring%202024/,EUW,56,2024-01-24,2024-03-07
CBLOL Academy Split 1 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Academy%20Split%201%202024/,BR,66,2024-02-05,2024-03-05
LJL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LJL%20Spring%20Playoffs%202024/,JP,13,2024-02-24,2024-03-03
PCS Spring 2024,https://gol.gg/tournament/tournament-stats/PCS%20Spring%202024/,PCS,93,2024-01-19,2024-03-03
LLA Opening 2024,https://gol.gg/tournament/tournament-stats/LLA%20Opening%202024/,LAT,93,2024-01-16,2024-02-29
Ultraliga Spring 2024,https://gol.gg/tournament/tournament-stats/Ultraliga%20Spring%202024/,PL,56,2024-01-16,2024-02-28
LCO Split 1 2024,https://gol.gg/tournament/tournament-stats/LCO%20Split%201%202024/,OCE,55,2024-01-15,2024-02-21
LEC Winter Playoffs 2024,https://gol.gg/tournament/tournament-stats/LEC%20Winter%20Playoffs%202024/,EUW,40,2024-02-03,2024-02-18
LJL Spring 2024,https://gol.gg/tournament/tournament-stats/LJL%20Spring%202024/,JP,60,2024-01-20,2024-02-18
LEC Winter Season 2024,https://gol.gg/tournament/tournament-stats/LEC%20Winter%20Season%202024/,EUW,45,2024-01-13,2024-01-29
Demacia Cup 2023,https://gol.gg/tournament/tournament-stats/Demacia%20Cup%202023/,CN,65,2023-12-25,2024-01-06
Battle of the Atlantic 2013,https://gol.gg/tournament/tournament-stats/Battle%20of%20the%20Atlantic%202013/,WR,10,2013-12-14,2013-12-22
Season 3 World Championship,https://gol.gg/tournament/tournament-stats/Season%203%20World%20Championship/,WR,63,2013-09-16,2013-10-04
Battle of the Atlantic 2013,https://gol.gg/tournament/tournament-stats/Battle%20of%20the%20Atlantic%202013/,WR,10,2013-12-14,2013-12-22
Season 3 World Championship,https://gol.gg/tournament/tournament-stats/Season%203%20World%20Championship/,WR,63,2013-09-16,2013-10-04
IEM San Jose 2015,https://gol.gg/tournament/tournament-stats/IEM%20San%20Jose%202015/,WR,11,2015-11-21,2015-11-23
World Championship 2015,https://gol.gg/tournament/tournament-stats/World%20Championship%202015/,WR,73,2015-10-01,2015-10-31
LCK Spring Promotion 2015,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Promotion%202015/,KR,8,2015-09-11,2015-09-12
NA LCS Spring Promotion 2015,https://gol.gg/tournament/tournament-stats/NA%20LCS%20Spring%20Promotion%202015/,NA,7,2015-09-06,2015-09-07
EU LCS Spring Promotion 2015,https://gol.gg/tournament/tournament-stats/EU%20LCS%20Spring%20Promotion%202015/,EUW,8,2015-09-05,2015-09-05
LPL Regional Qualifiers 2015,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Qualifiers%202015/,CN,14,2015-09-04,2015-09-05
LCK Regional Qualifier 2015,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Qualifier%202015/,KR,12,2015-09-02,2015-09-05
IWC Desafio 2015,https://gol.gg/tournament/tournament-stats/IWC%20Desafio%202015/,WR,9,2015-08-29,2015-09-05
EU Regional Qualifiers 2015,https://gol.gg/tournament/tournament-stats/EU%20Regional%20Qualifiers%202015/,EUW,11,2015-08-29,2015-08-31
NA Regional Qualifiers 2015,https://gol.gg/tournament/tournament-stats/NA%20Regional%20Qualifiers%202015/,NA,14,2015-08-29,2015-08-31
IWC Turkey 2015,https://gol.gg/tournament/tournament-stats/IWC%20Turkey%202015/,WR,16,2015-08-26,2015-08-29
LCK Summer Playoffs 2015,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202015/,KR,14,2015-08-16,2015-08-29
LPL Summer Playoffs 2015,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202015/,CN,37,2015-08-11,2015-08-23
